user,Text
ReaveleyBarbara,"@TruthOuter @lara_lazar “Those who do not learn history are doomed to repeat it.” G.Santayana, philosophy prof Harv… https://t.co/sBpIdHg2vC"
_letsbebadguys,"RT @Sillyshib: So, basically the government are playing chicken with our jobs and economy in order to pander to extremists, racists and stu…"
aplemkseriously,"RT @brooklynmarie: Today I got the idea to put together a thread of every public official, elected or appointed, who is advocating for or t…"
FixSheltersNow,@B_J_Davis @NeilAxelrod @LisaMarieBoothe You must be kidding. Seriously. Begging for money? We pay more money than… https://t.co/oaMmuYj0zi
GrantThorntonAU,COVID has pressed the pause button on the economy and made us focus on health. We have an opportunity to take this… https://t.co/olJ0TvMa9B
tacayler,RT @RBReich: The best way to get the economy on track is to pay people to stay home to contain Covid. Providing disaster relief would mean…
OcKLQmEF8X7xluj,"RT @wanpakuten: 国境離島旅行に5000円補助　政府検討　Go toとの併用も 

「特定有人国境離島地域」の15地域・71島を目的地とした旅行商品について、政府が一人一泊５千円の支援策を検討。第３次補正予算案に盛り込む。

…え？
医療の脆弱な離島に、もしもコロ…"
HalfonJulien,"RT @mercer: Join @InfluentialDeb, Susan McDermott and Rupert Watson to hear in-depth market views and #economic out… https://t.co/kG6UGq1IfC"
DrAparnaBole,#Ohio's pediatricians agree: a corruptly passed bill that bails out a dirty utility &amp; impedes our transition to a c… https://t.co/QZ3LiCicph
JimmyDun,"@bronwyn13 @ossoff aid it before, saying it now and will keep saying it - if they can spend Trillions$$$$$$$$ on fa… https://t.co/17qUKKyQIZ"
qibdeeyat,"RT @BashirAhmaad: The Communications and Digital Economy Minister, @DrIsaPantami⁩ in his keynote address at the #GITEX2020 in Dubai, has ca…"
longrow1986,"RT @Sankei_news: 日本カー・オブ・ザ・イヤーにスバル「レヴォーグ」
https://t.co/laDiVI8cPE

スバルの受賞は平成28年の「インプレッサスポーツ」以来。

「テクノロジー・カー・オブ・ザ・イヤー」をアウディの「e-tron Sportbac…"
UNSNUK,RT @AJEnglish: UK’s Johnson will head to Brussels to try and break a post-Brexit trade deadlock https://t.co/0cPw4GRTLW https://t.co/Sn7LWk…
aka_heru,RT @kunikoasagi: 離島へ支援が必要なのは異論はないけど、この方法、これほんとうに離島のみなさんが望んでいることなんだろうか。奥尻が今どれほど苦しんでいるかわかっているのだろうか。☆→独自〉国境離島旅行に５０００円補助　政府検討　ＧｏＴｏとの併用も - 産経ニュー…
Del84126873,"RT @JonCarsonNDP: Wear a mask. Slow the spread of COVID-19. Protect your family, friends and neighbours. Keep the economy open. #covid19ab…"
SteveMirsky,"RT @brooklynmarie: Today I got the idea to put together a thread of every public official, elected or appointed, who is advocating for or t…"
CoffeTechnology,"RT @mvollmer1: The Population Race: A 300-Year Look at #China 🇨🇳  vs. #India 🇮🇳. When will India's #population overtake China's?
Take a loo…"
gg_poulloin,Writing in '#Conservative Woman' Andrew Cadman posits that the Prime Minister will be thinking about how history wi… https://t.co/OAafxJC55O
