user,Text
JahG121,@RexChapman Well at least the guy is in good health and shape. So he would probably only die if he gets it. Congrat… https://t.co/BO6RYQMYdu
munger_c,"Philadelphia may be on the way to a record for fatal drug overdoses in 2020, another COVID-19 consequence https://t.co/ia2aC0gzSL"
mafiahosie,@penpark32 I am not arguing about which fandom is the most toxic i am arguing about the three fandoms being toxic a… https://t.co/U0lHf3FQg4
LiveBetterLong,"The plan is to start with the health, fitness and nutrition advice (links, etc.) on 2:1:21 or January 1, 2021 in old money."
TraffordPagesUK,"RT @TraffordFIS: Winter support is available for families and adults in #Trafford this December. ❄️

Find services helping with food, money…"
billingspg,"Helluva lede ""that made no mention of agency staff conclusions that the existing limits don't do enough to protect… https://t.co/qzvUsbcx0m"
foolishoptimism,RT @ReverendWarnock: Love your neighbor. That means don't get rid of your neighbor's health care — particularly not in the middle of a pand…
deuceohsixx,"From: Public Health - Seattle &amp; King County @KCPubHealth 
https://t.co/z3tLv1khhT https://t.co/xQMIUWLnOn"
ssher111,"RT @morethanmySLE: My dog Natasha owns my ❤️

She turned 17 last Monday &amp; I told her how grateful I am that she brings so much joy.

Her he…"
HEALTH_ideals,"How To Pick The Perfect Gift For Anyone, Based On Their Enneagram Type #Healthy #Happy #Living https://t.co/wjHWOoUUrW"
People4Bernie,"Our demands: Cancel the rent, stimulus checks, money for local services that isn't cops, universal health care

Mit… https://t.co/WhgchCO9eO"
SinaiBrain,"RT @MSHSNeurology: Patient Amelia thanks the ""rock star"" #epilepsy team who brought her #statusepilepticus under control .@MSHSNeurology ht…"
cheezwitham,"RT @TomSteyer: Everyone deserves clean air. Doing nothing about air pollution hurts people, especially communities of color and the poor.…"
WhoIsThuli,"It was a bad year for me shem, heartbreak, failing, my mental health, weight gain, and, and...but I didn’t lose a l… https://t.co/7lXeLZ7Vfs"
U_dntknw_me,"RT @ms___dale: Hello everyone, good evening, my Christmas wish and all I want for Christmas is for this girl to regain her health. 
This ba…"
BobbiefromIL,@Amy_Siskind https://t.co/vjIoMkuaQN Health Professionals will head-up agencies under .@HHSGov umbrella.
jonlieffmd,"Interview by @MichaelLevy about 
The Secret Language of Cells 

#mindbody, #immune, #brain, #cancer #viruses

new d… https://t.co/uAqBPD7B1V"
jacquelinemdix,"RT @prayerthatheals: If you are not able to visit a reading room, you can still access Christian Science publications online. Read the King…"
buzzf_michael,"RT @nytimes: In Opinion 

America’s public health announcements around Covid-19 are “virtuous and profoundly dull,” writes Elisabeth Rosent…"
Pirate__Captain,@BrianDiscoNO @Bro_Pair facts don't really bear that: https://t.co/5Yzxod3Qbl
Angelaadaugher2,"RT @ossoff: This is about Health, Jobs, and Justice. 

Register to vote now. https://t.co/yhS6ierE7Q"
arron_holmes1,RT @Dannycommockx: Mental health is dangerous. Depression is real. Suicide is real. Takes a few seconds to check up on your mates.
xxxzuzu,THE SECRETARY OF HEALTH\!# WENT TO MY HIGHSCHOOL?
Patta47cake,"RT @ChelseaClinton: I joined over 100 leaders from public health, economics, faith, and racial justice communities to send an open letter t…"
KezzaMcDezza,RT @markmobility: Over half of NYC firefighters say they won't take the COVID vaccine--meaning they could both get infected and be super-sp…
winnfp,"RT @maziehirono: We’re in the middle of public health, economic, and racial justice crises, and what are @realDonaldTrump and Sen. McConnel…"
boozynerd,RT @Cleavon_MD: 🧵This thread is about the lack of emotional and financial support for frontline healthcare workers and how to help us by pa…
hoopslad67,"RT @Gastro_Celtic: Genuinely think it might be time to take a Twitter break until (at least) after the game with the Huns.

The @CelticFC B…"
PaprikaPink,"RT @CassieY4: And they fucked me by making me BEG FOR PPE.

You want to feel disposable? 

Listen to Trump and Kushner tell your state to s…"
maudi63,@nycjim Yet 👇👇👇 https://t.co/aOcZpu75Qw
Unbeelievable,"RT @Unbeelievable: Founder
Feature
Flashback⚡️

https://t.co/fkA3fXzIp8 #SmallBusinesses #uksmallbiz #UK #UKmfg #nutrition #ukbiz #ukblogge…"
keichajae,RT @turtlebreezee: Time doesn't heal... it takes away the freshness of the wound and covers it with new memories until your exposed to some…
clesays,@Remedy_gh Deputy minister of health.
geegeebythesea,"RT @SenatorDurbin: The 2021 open enrollment period for health care plans under the ACA ends next Tuesday, Dec. 15. With the COVID-19 pandem…"
