user,Text
obiejesiemmanu1,"This man is the head of Nigeria university. 
ASUU has been on strike for  8 months +  now. 
He went to UK 🇬🇧 for hi… https://t.co/89ft24Ik1f"
bomalley500,@hbryant42 The meager social welfare state we have is a largely a product of the “radical left” that we had in the… https://t.co/RPNGXquCev
DondieCox,"RT @umairh: If anyone is to blame for Brexit, it’s two groups in society, one Brexiters on the right, whom we all know, who are fanatics, a…"
DoctorG92,"@claud98_lopez @Lisette90054500 @Medikachu @dizzy_luly yo tampoco, es una critica social"
antitxistu,"RT @ElSaltoDiario: Alfonso, de 59 años, falleció el viernes mientras dormía en la calle. Hace un año fue desahuciado. Collado de Villalba h…"
TerryWRobertson,Taxpayers Are Funding A ‘Social Justice’ Organization That Partners With Southern Poverty Law Center! https://t.co/VYM3gP9H5i
ThysMusic,"@opiumhum I think it will be more local, and spontaneous. No shows booked months in advance. No ""we need big names… https://t.co/C2GK9DXzse"
jrobertogarcia,RT @ideias_gp: Cansado da censura das redes sociais? Aqui estão três novatas que prezam pela liberdade https://t.co/Wna2Ets1nK
fariaasssss,RT @oficialharielmc: Respeitem seus pais e suas mães que tão trabalhando aí pra paga a bosta da internet que vcs só usa pra fala merda e pa…
raffaeldantas,"RT @marcogomes: meu pai no Pró-Vida. liderada por minha tia e meu tio, é uma instituição focada em educação de crianças e adolescentes em v…"
chorpatelicoPN,O Social no lixo.. https://t.co/94LTILnS1d
Make55765177,"RT @tewannyong: Who is handling this Upfront and Personal Social media account?
I want to tell the person something.
#ChefErica #MamadorEli…"
pangurdubh3,RT @Solant66: @venessb @dlmetcalf @AndrewHewat @VSTMMJJ @geoffrey_hurst @bprophetable @NjbBari3 @AliciaTDennis @PMGPSC @YouAreLobbyLud @pat…
brendamwangi94,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
BdgauseBonnie,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
amir_aimrannn,RT @imranshah___: Social media has cooked all our brains especially in regard to how we view it? Just because a person doesn’t post anythin…
joaomvvalente,"Eu juro que ando muito confuso, deixem ver se percebi.

A Marisa bloquista, 
é social democrata
e o João comunista,… https://t.co/sO6vvahzmu"
playboydoja,advantages of stanning an artist who is active on social media; a thread: https://t.co/j5vY7xc8sX
CarolPP9,"RT @wolvespremier: @CraigSpillard @martinpmurray I was there yesterday Craig collecting a Christmas tree.  Hardly anybody in masks, no soci…"
Omer_Sayz,RT @MaryamNSharif: PMLN Pakistan social media convention ❤️❤️❤️ https://t.co/Q1iA54B2Va
zaydenmatthew,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
MikelJonsun,Social media really giving me high expectations for no results 🥲
Prosper_Kenn,"RT @NWKTC: Add us on Snapchat!
@TECHMAVS

#socialmediamarketing 
#social 
#socialmedia 
#snapchat👻 @ Northwest Kansas Technical College htt…"
madsthestallion,RT @unknown_serena: “How do you know them” bro we go to the same social media
its_emmaline,"RT @insidetheslime: BASICALLY I THINK THE STAN COMMUNITY AND WHAT THEY CREATE IS AWESOME, JUST BE CAREFUL AND RECOGNIZE THAT CONTENT CREATO…"
JohnDee63999880,"RT @drdavidsamadi: People: “We’re having a light flu season because people are wearing masks and social distancing.”

Me: “Then why are the…"
ToledoAcua1990,"RT @TNTecno: Twitter 2020: las tendencias, momentos y personalidades que dominaron la red social https://t.co/T6Qe1Rx5Fv"
DellCares,@gamerlegend0 Thank you for reaching out to Dell Social Media Support. We’re extremely sorry to know that you’re un… https://t.co/FQv1Cyz1Ae
IMSpecialTea,Looking for a #freelance Social Media Marketing Manager for a #Charlotte HQ black women-owned small business. Locat… https://t.co/Z6GVVPIaZK
_kaejene,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
agenciaoaxacamx,"La @SSP_GobOax,
A través de la @Policia_GobOax y la @PolVial_GobOax implementan el Operativo Corredor Seguro y de P… https://t.co/rr66MsiaLX"
ATMkashhh,RT @urshahzadi: Im not antisocial. Im selectively social
RiosOfSergio,"RT @laurahelenarp: Mira los deseos de estos abuelitos del  Hogar de Ancianos Maria Eugenia, boulevard Comunidad Económica Europea, una cuad…"
Frankweldon1,"RT @JohnathonsTweet: @GiftedNutter Substantiated all over social media - 

Thank you @GiftedNutter 

@LLinWood @SidneyPowell1 https://t.co/…"
Blackxxwater1,"@RawStory The Rightwing populist will ultimately be driven out, and the moderates will have their party back, meanw… https://t.co/xdrtxt1boR"
virgiiniiiiaa,"RT @femmeswift: Se ci fosse stata Ilary in questo momento avrebbe detto “senti a Francè, te chiamo come chiamo mi marito, tua madre Alba st…"
BrittneyEnema,Everything you go through is not meant for social media I’m taking most of the shit that goes on to the grave
OddMurloc,Self described Social Justice Warriors are nothing more than Marxist Brownshirts looking to empower a global federa… https://t.co/y4SFBuaN1D
ventobene,Eric Clapton causa polêmica com música contra lockdown e distanciamento social no Reino Unido https://t.co/Sw3sg7CXYi
marla_reina,Interesante conversatorio entre jóvenes del @AlmaCujae y @ETECSA_Cuba evidenciando la alta responsabilidad social e… https://t.co/0RKRYjnYVX
Kjcoho,"RT @lisastark351: Please meet my new friend @TheMikeDowd. 

He likes to threaten women with physical violence on social media. 

Such a man…"
Rickstar5150,Olivia Newton-John’s daughter Chloe Lattanzi's anti-vax rant https://t.co/BizRo92Fjm via @Yahoo
dontaskwhatieat,as if i’d allow a family member to have any sort of awareness of my social media presence lmao https://t.co/03lznjcVVG
Richieh20,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
benocallaghan,Porsha is the queen of to-the-minute shade and dragging. First “them titties are social distancing” and now this 🤣 https://t.co/6WV6isEUOB
baillieray,You get all your news from social media and it shows!
Milenasdf,"No se queden años en relaciones de mierda, llenas de maltrato solo por subir una foto a cualquier red social para… https://t.co/VKT88ocNtV"
Elamirkad,Hello Galgo Español how are you? Mckenzie want ask why you are well-chosen  dog.  effectiveness londoner baby malar… https://t.co/HwUHEpp2Cp
mad_laure,"@CbTjapaljarri then there's the relationship, very weird in its rythm, them suddenly getting together after almost… https://t.co/VFMUdWJCP0"
AngieWorldOrder,RT @ShaylaRacquel: Social media brought me a whole tribe of dynamic Black women filmmakers and know that I’m rooting for every single last…
_haileybug_,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
ITANDEHUI1801,RT @RoanaBuenavent1: @SapisimoG @AyalaramM @_frankyJalisco_ @metalalfeiran @rociomag3 @PoetaCaminate @laadelita3 @jaretos @luireed @FilipoO…
anniemairi,"RT @_AnimalAdvocate: Going crazy in #lockdown?

Imagine a lifetime trapped in a bathtub🤯

Social distance the shit out of #Seaworld🐬💔

Resp…"
Barbara02198417,RT @RealCandaceO: I am allowed to fly directly next to perfect strangers on a packed plane with no social-distancing between strangers &amp; du…
huldy_,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
JessicaMadris,@RachelCharleneL How did you start accumulating those social media gigs?
daniguties,"RT @ICLEI: . @DaringCities covered topics from nature-based solutions and innovative climate finance, to urban resilience and social equity…"
popmckee,Aye @lilbaby4PF I’m on your side 😂😂😂 she know you be fucking them hoes .. it just hit social media that why she act… https://t.co/MehwBQEYAP
joseluisbonato,"El Gobierno le recortó fondos a los ministerios de Salud, Desarrollo Social y Hábitat para atender el déficit de la… https://t.co/RKVhDlqWOU"
q3scrum,RT @oja_kodar: te pasas los primeros años de tu vida social intentando hacerte amigo de aquella gente que trata la suya como un club select…
camilamoradia,E o @GovRJ  não pagou o aluguel social na data que constava no portal! Mais de 5000 famílias em todo estado depende… https://t.co/oVrT74XnxW
Kobomoje001,"...mom) but she made her choice.

Is there anything stopping women from taking social campaign against the TV that… https://t.co/hSNcckIasF"
melissa7vb,RT @literlandweb1: Nos ha llamado la atención esta carta publicada en un diario y escrita por un joven de 27 años. El valor de los abrazos…
tranex100,RT @DailyMailUK: 'Martin Bashir used forgery': New claim of skulduggery from Tony Martin's lawyer as BBC probes Diana scoop https://t.co/Zr…
Kaanturkk54,"@KDimontenegro Kesinlikle, usta bir yönetmen. Ben Gone Girl, fight club, se7en, zodiac ve social network filmlerini izleyebildim."
Jocelin0324,"RT @GlobalJisoo: 'We always listen to our fans’ feedback and monitor their responses because in these times, especially when we can’t meet…"
kocooked,@blktinabelcher @RealSimple Is your Real Simple stuff in print too? I've been trying to decide whether to subscribe… https://t.co/zhqLaoi4r7
leilannnnn,RT @_tweetsbysal: FRIENDS THAT UNDERSTAND YOUR ANTi-SOCIAL PHASE AND DONT TAKE THEM PERSONALLY &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;
seherzadaa_,RT @earringdealer: I’m officially at the point where I could be watching a old ass music video from like 2013 and think to myself “why tf t…
sspencer_63,Trump's parting gesture appears to be the mass slaughter of his people - just horrific news. America’s Nightmare Co… https://t.co/sUrYMRj2Ka
kokoai1429,"RT @frostyardor: please do not repost art. retweeting art is ok!
quote retweeting is bad too, unless the artist explicitly says on their pr…"
